순위,제목,가수,앨범명
1위,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2위,TOMBOY,(여자)아이들,I NEVER DIE
3위,LOVE DIVE,IVE (아이브),LOVE DIVE
4위,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
5위,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6위,GANADARA (Feat. 아이유),박재범,GANADARA
7위,취중고백,김민석 (멜로망스),취중고백
8위,INVU,태연 (TAEYEON),INVU - The 3rd Album
9위,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
10위,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
11위,ELEVEN,IVE (아이브),ELEVEN
12위,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
13위,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM
14위,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
15위,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
16위,신호등,이무진,신호등
17위,STAY,"The Kid LAROI, Justin Bieber",Stay
18위,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
19위,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
20위,드라마,아이유,조각집
21위,Step Back,GOT the beat,Step Back
22위,strawberry moon,아이유,strawberry moon
23위,MY BAG,(여자)아이들,I NEVER DIE
24위,Next Level,aespa,Next Level
25위,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
26위,사랑인걸,한동근,사랑인걸
27위,Weekend,태연 (TAEYEON),Weekend
28위,LOVE me,BE'O (비오),LOVE me
29위,너를 생각해,주시크 (Joosiq),너를 생각해
30위,어제처럼,폴킴,어제처럼
31위,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album
32위,내가 아니라도,주호,내가 아니라도
33위,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
34위,호랑수월가,탑현,호랑수월가
35위,Real Love,오마이걸 (OH MY GIRL),Real Love
36위,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
37위,라일락,아이유,IU 5th Album 'LILAC'
38위,abcdefu,GAYLE,abcdefu
39위,"스물다섯, 스물하나",자우림,"Goodbye, grief."
40위,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
41위,Dynamite,방탄소년단,Dynamite (DayTime Version)
42위,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
43위,Butter,방탄소년단,Butter
44위,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT
45위,Savage,aespa,Savage - The 1st Mini Album
46위,Dreams Come True,aespa,Dreams Come True - SM STATION
47위,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
48위,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
49위,내 생에 아름다운,이예준,내 생에 아름다운
50위,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유",봄 사랑 벚꽃 말고
51위,Celebrity,아이유,IU 5th Album 'LILAC'
52위,Permission to Dance,방탄소년단,Butter / Permission to Dance
53위,Blueming,아이유,Love poem
54위,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light
55위,너의 번호를 누르고,김나영,너의 번호를 누르고
56위,봄날,방탄소년단,YOU NEVER WALK ALONE
57위,내 손을 잡아,아이유,최고의 사랑 OST Part.4
58위,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
59위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
60위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
61위,Bad Habits,Ed Sheeran,=
62위,아무래도 난,주시크 (Joosiq),아무래도 난
63위,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
64위,고백,멜로망스,세 번째 '고백'
65위,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집
66위,헤픈 우연,헤이즈 (Heize),HAPPEN
67위,Off My Face,Justin Bieber,Justice (The Complete Edition)
68위,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져
69위,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
70위,문득,BE'O (비오),Bipolar
71위,서랍,10CM,그 해 우리는 OST Part.1
72위,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
73위,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
74위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
75위,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE
76위,겨울잠,아이유,조각집
77위,My Universe,"Coldplay, 방탄소년단",My Universe
78위,"아주, 천천히",비비 (BIBI),스물다섯 스물하나 OST Part 3
79위,Can't Control Myself,태연 (TAEYEON),Can't Control Myself
80위,DAYDREAM,하이라이트 (Highlight),DAYDREAM
81위,롤린 (Rollin'),브레이브걸스,Rollin'
82위,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
83위,그대라는 사치,임영웅,사랑의 콜센타 PART62
84위,With,"김태리, 남주혁, 보나(우주소녀), 최현욱, 이주명",스물다섯 스물하나 OST Part 7
85위,잊었니,임영웅,사랑의 콜센타 PART60
86위,Christmas Tree,V,그 해 우리는 OST Part.5
87위,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2
88위,꽃 (With 김민석 of 멜로망스),박봄 (Park Bom),꽃
89위,That's Hilarious,Charlie Puth,That's Hilarious
90위,언덕나무,이승윤,그 해 우리는 OST Part.7
91위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
92위,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2
93위,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
94위,HERO,임영웅,HERO
95위,끝사랑,임영웅,사랑의 콜센타 PART61
96위,다시 만날까 봐,"V.O.S, 이예준",다시 만날까 봐
97위,북극성 (Never Goodbye),NCT DREAM,Glitch Mode - The 2nd Album
98위,O.O,NMIXX,AD MARE
99위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
100위,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
